"","virus","pVal","phase","peak.shape","period","p.adj"
"1","T88_S_k141_1242316||full",0.000450060739282848,24,12,24,0.0242683243402119
"3","T100_D__k141_239299||full",2.71576155536538e-05,16,12,24,0.0139876047649868
"15","T28_S__k141_1094483||full",0.000331256382747241,24,12,24,0.0220661404452316
"26","T28_S__k141_1292113||full",0.000316199274440549,24,12,24,0.0219379361484287
"45","T44_S__k141_1280188||full",0.000607494139719867,24,12,24,0.0263252837660094
"83","T100_D__k141_128117||full",0.000845596694173906,16,16,24,0.0287567945992524
"88","T92_S__k141_206337||full_1",0.0031971038072334,20,16,24,0.0499933300538261
"97","T28_S__k141_766314||full",0.000450060739282848,24,12,24,0.0242683243402119
"100","T52_S_k141_501598||full",0.00108603268945857,24,12,24,0.0317983017443167
"109","T60_S__k141_644||full",0.00248090437031281,24,12,24,0.0441872882844828
"113","T28_S__k141_504791||full",0.000331256382747241,24,12,24,0.0220661404452316
"126","T4_D_k141_582093||full",0.00148270430510936,20,8,24,0.0349083316051522
"149","T28_S__k141_1032992||full",0.00248090437031281,24,12,24,0.0441872882844828
"166","T44_S__k141_1026868||full",0.0015041919863657,24,12,24,0.0349083316051522
"169","T36_S__k141_617161||full",0.00215320770748294,24,12,24,0.0415937546302289
"194","T68_S__k141_376523||full",0.0019809510908843,24,12,24,0.0395276058629358
"245","T112_S__k141_607979||full",0.000231178326212715,24,12,24,0.0203925391290152
"286","T12_S__k141_1384548||full",0.000346313491053934,24,12,24,0.0222849259507213
"306","T8_S__k141_577265||full",0.00143879233478458,24,12,24,0.0349083316051522
"333","T96_S__k141_371276||full",0.000814787978763046,24,12,24,0.0287567945992524
"340","T36_S__k141_458257||full",0.00150271913838303,20,16,24,0.0349083316051522
"353","T28_S__k141_483390||full",0.000814787978763046,24,12,24,0.0287567945992524
"361","T36_S__k141_449007||full",0.00296540861021873,20,12,24,0.0490444918765397
"380","T68_S__k141_69425||full",0.000814787978763046,24,12,24,0.0287567945992524
"387","T28_S__k141_924775||full",0.00248090437031281,24,12,24,0.0441872882844828
"415","T20_S__k141_144720||full",0.00206707939918362,24,12,24,0.040593885297512
"424","T8_S__k141_793390||full",0.000316199274440549,24,12,24,0.0219379361484287
"427","T52_S_k141_308859||full",0.000450060739282848,24,12,24,0.0242683243402119
"439","T20_S__k141_503511||full",0.00268901162975396,24,12,24,0.0460957834875117
"445","T68_S__k141_787835||full",0.00108603268945857,24,12,24,0.0317983017443167
"447","T44_S__k141_267473||full",0.00218570393484707,24,8,24,0.0417881050757103
"469","T20_S__k141_125412||full",0.0019809510908843,24,12,24,0.0395276058629358
"479","T16_S__k141_455184||full",0.00143879233478458,24,12,24,0.0349083316051522
"502","T24_S__k141_1115216||full",0.000231178326212715,24,12,24,0.0203925391290152
"557","T4_D_k141_492369||full",0.00301643689109421,20,8,24,0.0490444918765397
"574","T92_S__k141_309816||full",0.000397047031746445,20,12,24,0.0231841025452687
"578","T36_S__k141_426563||full",0.00185715791976791,20,12,24,0.0394135059394885
"593","T112_D__k141_793704||full",0.000257079975373155,16,12,24,0.0206678603286038
"603","T28_S__k141_973897||full",0.00215320770748294,24,12,24,0.0415937546302289
"662","T44_S__k141_955964||full",0.0028192095117191,24,12,24,0.0476207458086964
"719","T28_S__k141_314566||full",0.000121030819049067,24,12,24,0.0178720782259343
"720","T48_S__k141_36500||full",0.000607494139719867,24,12,24,0.0263252837660094
"722","T40_D__k141_315188||full",0.00141530865487712,20,8,24,0.0349083316051522
"723","T92_S__k141_657013||full",0.00143879233478458,24,12,24,0.0349083316051522
"738","T20_S__k141_283450||full",0.00312619913169303,24,12,24,0.0494560923511894
"790","T72_S__k141_270513||full",5.45106915417262e-05,24,8,24,0.0155284927646042
"798","T12_S__k141_1053133||full",0.00235620058305122,20,12,24,0.0437069651438199
"816","T68_S__k141_154256||full",0.00206707939918362,24,12,24,0.040593885297512
"823","T28_S__k141_48887||full",0.00259367275078157,24,12,24,0.0450525050125
"863","T40_S__k141_812126||full",0.000613034868727355,24,8,24,0.0263252837660094
"865","T52_S_k141_1088620||full",0.00310005842687983,24,8,24,0.0494560923511894
"906","T20_S__k141_446335||full",0.000851823795979548,24,12,24,0.0287567945992524
"935","T36_S__k141_1028030||full",0.00304474627265663,24,12,24,0.0492982188205333
"963","T36_S__k141_424282||full",0.00259367275078157,24,12,24,0.0450525050125
"976","T68_S__k141_494481||full",0.00123412805620292,24,12,24,0.0328984766827789
"1022","T20_S__k141_801227||full",0.000635107509707133,24,12,24,0.0263252837660094
"1036","T12_S__k141_1299858||full",3.92246586000504e-05,16,16,24,0.0148404044272128
"1070","T44_S__k141_843304||full",0.00259367275078157,24,12,24,0.0450525050125
"1075","T52_S_k141_897553||full",0.00128123154822706,24,12,24,0.033887209949503
"1082","T112_S__k141_600259||full",0.000777752161546544,24,12,24,0.0287567945992524
"1109","T76_S__k141_567795||full",0.00297110085181613,16,20,24,0.0490444918765397
"1129","T52_S_k141_1130492||full",0.00259367275078157,24,12,24,0.0450525050125
"1147","T84_S__k141_914605||full",0.000189021631444965,16,12,24,0.0194832470696007
"1152","T72_S__k141_435929||full",0.00024218681793713,24,12,24,0.0204688014294229
"1184","T44_S__k141_1115020||full",0.000657833790083256,20,8,24,0.0265258740933821
"1230","T44_S__k141_1230827||lt2gene",0.000175855166927301,24,12,24,0.0191808874413408
"1245","T92_S__k141_522270||full",0.000851823795979548,24,12,24,0.0287567945992524
"1266","T112_D__k141_519554||full",0.00225375707944029,20,12,24,0.0427845959328011
"1324","T4_D_k141_929434||full",0.00042932110546088,16,12,24,0.0237498117020436
"1382","T8_S__k141_549956||full",0.00174744631083895,24,8,24,0.0382228229183869
"1383","T48_S__k141_1032959||full",0.00247210453533947,16,8,24,0.0441872882844828
