"","virus","pVal","phase","peak.shape","period","p.adj"
"815","T88_S_k141_98649||full",0.000847920460867402,8,16,24,0.0287567945992524
"817","T76_S__k141_354446||full",0.0020235946375495,12,12,24,0.0399994453498969
"818","T84_S__k141_299893||full",0.000657833790083256,16,8,24,0.0265258740933821
"819","T100_S__k141_521526||full",0.0013955259351527,8,16,24,0.0349083316051522
"822","T16_S__k141_1178154||full",0.00214547072312017,8,16,24,0.0414939521482683
"826","T84_S__k141_1196312||full",0.00126085739135078,8,16,24,0.0334030644137503
"827","T40_S__k141_141579||full",0.00168830439766374,8,16,24,0.0370967356488473
"829","T44_S__k141_582925||full",0.000167861750248787,12,12,24,0.0191808874413408
"830","T12_S__k141_647000||full",0.000686435259217311,16,8,24,0.0269904407936177
"833","T88_S_k141_591723||full",0.000884786567861636,8,16,24,0.029098199262576
"834","T88_S_k141_94826||full",6.3857776237649e-05,16,8,24,0.0156932407447844
"835","T28_S__k141_365481||full",0.00116386836124688,8,16,24,0.0318980288616093
"836","T28_S__k141_1081063||full",1.51874280284069e-05,12,12,24,0.0129034520098191
"839","T112_S__k141_507094||full",0.000479532712711673,16,8,24,0.0242683243402119
"840","T88_S_k141_716815||full",0.00201286378809014,16,8,24,0.0399831696183878
"841","T44_S__k141_659079||full",0.00177132013351933,16,8,24,0.0383981608890215
"842","T32_S__k141_853701||full",0.000175855166927301,12,12,24,0.0191808874413408
"843","T56_S__k141_481015||full",0.00314204236973546,8,16,24,0.0494560923511894
"844","T28_S__k141_352535||full",0.00302328272917257,8,16,24,0.0490444918765397
"846","T68_S__k141_1126818||full",0.000657833790083256,16,8,24,0.0265258740933821
"847","T0_S__k141_698299||full",0.000266986789239105,8,16,24,0.0206678603286038
"848","T32_S__k141_934243||full",0.00270644113125033,12,12,24,0.0462482466846123
"849","T104_S__k141_561120||full",8.72715676448614e-05,16,8,24,0.0163397069061258
"851","T108_S__k141_868435||full",0.000821309940881683,16,8,24,0.0287567945992524
"854","T16_S__k141_1073696||full",0.00027859491051037,8,16,24,0.0208105232320761
"856","T24_S__k141_164047||full",0.00150311604916546,16,8,24,0.0349083316051522
"857","T28_S__k141_674877||full",0.00230636112641659,8,16,24,0.0432246349187704
"859","T20_S__k141_885276||full",0.000167861750248787,12,12,24,0.0191808874413408
"860","T32_S__k141_455085||full",0.000379998922775293,16,8,24,0.022635409387653
"862","T112_S__k141_306660||full",0.000405527176936583,12,12,24,0.0232598817643381
"866","T16_S__k141_153519||full",0.00301643689109421,16,8,24,0.0490444918765397
"868","T48_S__k141_486261||full",0.0026918475986769,8,16,24,0.0460957834875117
"869","T16_D__k141_1017156||full",0.00289640800295085,8,16,24,0.0482515468754398
"870","T28_S__k141_907437||full",0.00301643689109421,16,8,24,0.0490444918765397
"871","T56_S__k141_698384||full",0.000481578006338143,8,16,24,0.0242683243402119
"873","T76_S__k141_315294||full",0.00262929404381185,12,12,24,0.0455080242865334
