"X","Virus","taxonomy_g"
112,"T108_S__k141_112951||full","TMED-70"
113,"T108_S__k141_11863||full","Lactobacillus"
114,"T108_S__k141_195165||full","TMED131"
115,"T108_S__k141_321885||full","Actinomarina"
116,"T108_S__k141_322534||full","UBA7446"
117,"T108_S__k141_389227||full","TMED112"
118,"T108_S__k141_404243||full","Cellulophaga"
119,"T108_S__k141_454517||full","MGIIa-L1"
120,"T108_S__k141_546405||full","Pusillimonas_A"
121,"T108_S__k141_549326||full","Croceibacter"
122,"T108_S__k141_5592||full","ARS21"
123,"T108_S__k141_580106||full","GCA-2691145"
124,"T108_S__k141_656950||full","Winogradskyella"
125,"T108_S__k141_656950||full","Winogradskyella"
126,"T108_S__k141_656950||full","Winogradskyella"
127,"T108_S__k141_674307||full","GCA-2691145"
128,"T108_S__k141_773405||full","Prochlorococcus_B"
129,"T108_S__k141_841501||full","UBA7377"
130,"T108_S__k141_860409||full","UBA7916"
131,"T108_S__k141_977032||full","BRH-c54"
132,"T112_D__k141_141306||full","UBA7916"
133,"T112_D__k141_180429||full_1","ARS21"
134,"T112_D__k141_186727||full","Hyphobacterium"
135,"T112_D__k141_200545||full","ARS23"
136,"T112_D__k141_251847||full","UBA721"
137,"T112_D__k141_254110||full","GCA-2746155"
138,"T112_D__k141_267775||full","MEDG-81"
139,"T112_D__k141_267775||full","MEDG-81"
140,"T112_D__k141_267775||full","MEDG-81"
141,"T112_D__k141_322227||full","Flavobacterium"
142,"T112_D__k141_335663||full","CAIJKW01"
143,"T112_D__k141_336679||full","UBA7326"
144,"T112_D__k141_374240||full","MB11C04"
145,"T112_D__k141_374735||full","ARS10"
146,"T112_D__k141_438140||full","UBA721"
147,"T112_D__k141_451731||full","UBA2588"
148,"T112_D__k141_468334||full","BRH-c54"
149,"T112_D__k141_486770||full","Pelagibacter"
150,"T112_D__k141_513111||full","Brumimicrobium"
151,"T112_D__k141_547258||full","GCA-2697505"
152,"T112_D__k141_627628||full","GCA-2689925"
153,"T112_D__k141_628509||full","TMED112"
154,"T112_D__k141_63750||full","Wolbachia"
155,"T112_D__k141_658214||full","ARS23"
156,"T112_D__k141_662948||full","Hyphobacterium"
157,"T112_D__k141_680186||full","Carnobacterium"
158,"T112_D__k141_691845||full","Hyphobacterium"
159,"T112_D__k141_69436||full","GCA-2689925"
160,"T112_D__k141_773502||full","ARS10"
161,"T112_D__k141_795910||full","Sediminibacterium"
162,"T112_D__k141_804875||full","ARS21"
163,"T112_D__k141_82133||full","MedAcidi-G1"
164,"T112_D__k141_823905||full","GCA-2698665"
165,"T112_D__k141_825873||full","UBA8316"
166,"T112_D__k141_830621||full","AEGEAN-183"
167,"T112_D__k141_886202||full","GCA-2697505"
168,"T112_D__k141_887253||full","UBA1994"
169,"T112_D__k141_88896||full","ARS23"
170,"T112_D__k141_8980||full","Prochlorococcus_B"
171,"T112_D__k141_902769||full","UBA460"
172,"T112_D__k141_904795||full","Liquorilactobacillus"
173,"T112_D__k141_914096||full","GCA-2697505"
174,"T112_D__k141_922241||full","MGIIa-K1"
175,"T112_S__k141_1000335||full","Prochlorococcus_A"
176,"T112_S__k141_1017854||full","Pedobacter"
177,"T112_S__k141_1017854||full","Pedobacter"
178,"T112_S__k141_1025710||full","SW10"
179,"T112_S__k141_1026327||full","GCA-002708315"
180,"T112_S__k141_1097652||0_partial_1","Alcanivorax"
181,"T112_S__k141_1100101||full","Parabacteroides"
182,"T112_S__k141_163652||full","Tenacibaculum"
183,"T112_S__k141_178651||full","Prochlorococcus_B"
184,"T112_S__k141_217376||full","GCA-2707915"
185,"T112_S__k141_229461||full","GCA-2689925"
186,"T112_S__k141_243868||full","UBA1994"
187,"T112_S__k141_284122||full","Vibrio"
188,"T112_S__k141_30760||full","WTJX01"
189,"T112_S__k141_355860||full","Joostella"
190,"T112_S__k141_356514||full","Pedobacter"
191,"T112_S__k141_357738||full","ARS21"
192,"T112_S__k141_425476||full","Vibrio"
193,"T112_S__k141_429680||full","UBA7805"
