"Night_Surface_vOTUs"
"T52_S_k141_510054||full"
"T56_S__k141_626028||full"
"T16_D__k141_790576||full"
"T28_S__k141_1079631||full"
"T72_S__k141_1028524||full"
"T96_S__k141_46554||full"
"T4_S__k141_877594||full"
"T72_S__k141_341713||full"
"T28_S__k141_45115||full"
"T16_S__k141_1117732||full"
"T56_S__k141_841683||full"
"T32_S__k141_549986||full"
"T8_S__k141_116586||full"
"T64_D__k141_778862||full"
"T40_D__k141_573340||full"
"T16_D__k141_1152631||full"
"T68_S__k141_338498||full"
"T32_S__k141_1330393||full"
"T72_S__k141_580300||full"
"T108_S__k141_637551||full"
"T88_S_k141_542491||full"
"T88_S_k141_424875||full"
"T56_S__k141_668645||full"
"T44_S__k141_352094||full"
"T12_S__k141_422664||lt2gene"
"T36_S__k141_784189||full"
"T88_S_k141_938346||full"
"T80_S__k141_96075||full"
"T104_S__k141_598624||full"
"T68_S__k141_685679||full"
"T72_S__k141_500908||full"
"T8_S__k141_535484||full"
"T112_S__k141_574432||full"
"T112_S__k141_857460||full"
"T84_S__k141_757007||full"
"T4_S__k141_509882||full"
"T92_S__k141_176023||full"
"T32_S__k141_1131750||full"
"T72_S__k141_124700||full"
"T36_S__k141_258337||full"
"T52_S_k141_423398||full"
"T56_S__k141_1068000||full"
"T88_S_k141_516986||full"
"T16_D__k141_23790||full"
"T16_D__k141_176848||full"
"T88_D__k141_299105||full"
"T0_S__k141_964779||full"
"T32_S__k141_303543||full"
"T56_S__k141_743420||full"
"T28_S__k141_31332||full"
"T28_S__k141_1081063||full"
"T40_D__k141_1007418||full"
"T108_S__k141_332053||full"
"T12_S__k141_276081||full"
"T28_S__k141_2545||full"
"T76_D__k141_211993||full"
"T84_S__k141_590295||full"
"T84_S__k141_3320||full"
"T0_S__k141_765091||full"
"T100_S__k141_413632||full"
"T16_S__k141_600675||full"
"T80_S__k141_693489||full"
"T52_D__k141_315010||full"
"T12_S__k141_352844||full"
"T104_S__k141_659107||full"
"T112_S__k141_439036||full"
"T80_S__k141_12126||full"
"T32_S__k141_1273172||full"
"T16_S__k141_991420||full"
"T84_S__k141_709703||full"
"T8_S__k141_443291||full"
"T52_S_k141_503585||full"
