"","T0_S","T4_S","T8_S","T12_S","T16_S","T20_S","T24_S","T28_S","T32_S","T36_S","T40_S","T44_S","T48_S","T52_S","T56_S","T60_S","T64_S","T68_S","T72_S","T76_S","T80_S","T84_S","T88_S","T92_S","T96_S","T100_S","T104_S","T108_S","T112_S"
"Aquimarina",3835.11221385341,4541.50092034541,5082.47104381533,4910.884974435,4594.40279603554,3316.71939073789,4045.79367005264,3954.149598056,4857.43234117625,4421.89719806992,3905.66632975677,3632.5141271405,3613.58813047648,1367.14139560391,3826.67112900687,4509.36092520617,4127.65934835992,3344.18777626407,4086.3934219285,4500.37695323131,3685.47844732373,4528.59954606133,1473.53231673192,2691.05392241145,3971.60424747811,5283.53816613119,4259.85487249596,4604.08494316861,3912.81775908098
"Arenitalea",162.378832278353,214.978326060695,199.94305564889,199.561431907348,195.725555942952,149.660947093208,170.689404574224,169.508308272582,220.248576240013,214.951011952991,181.848698253115,182.571522452707,159.067633383574,54.4512767147286,185.218131246593,170.154720205666,154.605675343481,145.356263498013,180.680778418056,217.994708551031,181.635592193001,210.962996621791,71.0108450821202,113.497425946392,177.44693888192,231.610114582144,209.455713828219,211.438586765656,183.727188350937
"B72-G16",67.0583641807392,69.8411691566954,83.732615683284,76.9908695035177,89.9313702726796,46.752322808024,58.0311358171426,57.2977273653399,101.812488409244,66.1233528950944,53.8208602607125,59.1471381207122,62.3886062156006,19.1476327495788,50.1413397233661,76.2811159686782,68.9698058425986,48.5108819154332,67.4855060960138,113.788730085645,77.4687572488371,81.4278064303765,33.7073720599004,54.7911388410436,75.550365031813,115.546120414253,85.7854222101551,85.0942308473709,85.7895024133195
"BACL11",61.8974611807272,75.5109604171337,86.1662409184583,79.804644748951,82.9530279915086,50.6123772528117,81.8458682888886,63.8491130275113,85.1997340952665,106.533280417306,84.4574826176562,86.704582491892,62.0671852414777,33.1077961887676,101.551494595129,85.8387576383708,57.7999103651832,72.807524141553,81.2677865485877,164.358931506778,102.15588787973,113.445175220016,40.4466360785923,71.975503823946,96.5825102800257,105.378149115292,101.226165452256,137.31866707102,90.2850927273628
"BACL21",107.295931263663,105.163651737154,131.206486295637,101.117648024008,82.991935621771,55.5195966045687,94.8664963405731,100.508546838514,86.9553058015239,86.5666335831436,62.0532167200885,57.2827170616197,77.7921630951948,21.8899844651162,82.4054375823222,96.2304978888655,81.1106936894341,68.7485916516714,72.8774029070758,138.654115053406,96.9295976340093,151.995494724179,46.9767003655656,131.149031837756,112.134441982495,147.302246958372,198.361118662253,138.1228349136,103.674922248306
"BRH-c54",2807.96940628769,3319.69995742401,3484.37180211301,3380.87243815408,3374.75561816229,2318.37414420692,2664.84279012916,2649.62756815456,3553.92857607972,3057.72745692483,2645.1211557755,2777.577776181,2642.19273458099,949.621330822382,2672.67034497754,3099.97784788789,2767.52057133739,2386.61728808715,3070.34663638304,3222.96262922064,2347.30144754327,3060.60652251404,1041.81298256204,2016.02974795244,2769.28297603892,3478.51038922818,2921.33808529034,3231.70666275695,2670.25924673445
"Bacillus_A",76.4154613377416,64.4995198121953,78.3255910309899,70.6178149297714,81.9420176862982,59.8342460423088,60.0690350544243,75.6341530359575,100.662034239818,90.1778806162472,128.85968253978,87.7595385771009,58.1115517216278,17.8706949801937,70.4642018305229,64.4618173113468,96.4939272770555,61.1385504566906,67.5976839525387,92.9021767946196,74.4544303133192,72.2826368624701,23.8624942991739,40.9903923671469,0,78.3511905739632,80.0622649237299,86.7426533356142,100.766426976062
"Bartonella",90.7295094082736,106.437312682224,136.4117816319,108.269339981948,115.951222158746,88.9235491996122,95.8244539026428,95.1056264208836,134.67956205862,104.687008520933,87.8026059456021,98.2514864869451,59.2879144098697,25.3534518320274,86.6866974865036,131.749235572708,65.4269340252786,79.7900275774289,89.6077001928407,96.0806048293521,60.6157679558119,97.1997924210021,39.3051525636127,41.1180881749355,78.6473977200267,107.151803162986,81.082402471,110.008662003631,79.6211890214658
"Bdellovibrio",317.930057329303,379.45982160927,374.221214143824,357.670000926464,427.862019044616,296.837504927598,388.54359669129,395.417148770658,437.688003999621,470.060897454946,375.531722040029,346.442434936364,330.623477470677,126.09979214391,387.796768036287,593.542770543004,374.635166710892,420.75814166306,287.790873328288,559.662662230137,427.626057684981,501.00078508868,163.891585018787,449.236859094506,510.342527203498,513.7960170205,506.833853527849,559.918728113143,492.663771040074
"C7867-006",85.9287396885232,87.3097085797319,150.763764428828,102.738737780498,89.8449840996303,76.1870932145027,104.597849544168,79.7547935930187,114.149239942381,115.354059731277,83.9393299386689,83.7144364850049,95.4576675474096,34.1578680651517,115.707626071181,132.071166241339,36.930417746899,94.5409649243744,111.349290673005,133.418725593212,96.0826567834629,104.464375825291,46.5423876904031,71.6799388166604,52.3192156177751,127.102670075007,110.404776827183,129.164495565294,88.2496876266193
"CABYIR01",100.425572261437,156.40423294854,139.207811724206,164.710453757343,172.246148766613,111.971230581964,138.10036733855,112.327787923126,160.710787589773,143.973681099931,133.159085932289,116.977031694459,132.11046281237,48.5194505902161,124.142246144791,151.987795311043,115.012058692823,115.567534360605,132.635485769929,154.193346035868,133.838621723137,131.56026591378,54.9942191260902,97.6743565170517,100.037698905825,114.498383102704,134.997187528225,151.262167250021,140.97416630733
"CACKPV01",1573.95985626199,1567.20157211784,1823.66807217208,1788.25778088845,2156.59177814256,1146.52948047965,1536.84801019736,1247.46273220864,2087.89456497246,1641.95835966478,1315.52896142976,1375.92055662534,1309.34471463758,460.551702202205,1431.03023130922,1670.10787570751,1459.51230585391,1226.2475049442,1540.73418935646,2162.49377517742,1610.76236305247,2008.16103134264,641.435380132567,1304.52392741676,1771.83836613522,2630.50206206848,2043.30135744164,1912.90386520081,1673.73599289624
