"","virus","pVal","phase","peak.shape","period","p.adj"
"867","T108_S__k141_840010||full",0.00316070467140768,8,16,24,0.0494560923511894
"872","T100_D__k141_183347||full",0.00168830439766374,12,16,24,0.0370967356488473
"874","T84_S__k141_1178230||full",0.000818564600256177,12,12,24,0.0287567945992524
"878","T60_S__k141_324659||full",0.00234892450508294,8,16,24,0.0437069651438199
"880","T4_D_k141_43191||full",0.00201286378809014,16,8,24,0.0399831696183878
"881","T112_D__k141_206193||full",0.00150821844554711,12,12,24,0.0349083316051522
"883","T76_S__k141_178469||full",0.00220152652976129,16,12,24,0.0420489086134227
"884","T52_S_k141_1006458||full",0.00248090437031281,12,12,24,0.0441872882844828
"886","T52_S_k141_1058286||full",0.000167861750248787,12,12,24,0.0191808874413408
"891","T44_S__k141_939461||full",0.00211157701309513,8,20,24,0.0409365298599564
"893","T76_D__k141_181587||full",0.00288860685691901,16,12,24,0.0482515468754398
"898","T12_S__k141_377273||full",0.00150311604916546,16,8,24,0.0349083316051522
"899","T100_D__k141_130195||full",0.000858642210921759,16,8,24,0.0287567945992524
"904","T112_S__k141_400159||full",0.00143879233478458,12,12,24,0.0349083316051522
"908","T24_S__k141_981261||full",0.00122784690038426,12,12,24,0.0328883681923723
"909","T16_D__k141_27428||full",0.00292109770841951,16,12,24,0.0486293983579719
"912","T4_S__k141_657638||full",0.000224037501415626,16,8,24,0.0203925391290152
"922","T16_D__k141_946431||full",0.00144264373052332,8,16,24,0.0349083316051522
"923","T56_S__k141_482849||full",0.00185183468504293,16,8,24,0.039333618476868
"927","T108_S__k141_386780||full",0.00209067332898416,16,8,24,0.0406941832701145
"930","T8_S__k141_1326131||full",0.00144048621378356,16,8,24,0.0349083316051522
"939","T36_S__k141_938234||full",0.000183848583605815,12,12,24,0.0192714701447238
"941","T12_S__k141_14514||full",0.000379998922775293,16,8,24,0.022635409387653
"944","T16_S__k141_163422||full",0.000866457664262784,16,12,24,0.0288390458865416
"945","T12_S__k141_1062749||full",5.83049261300273e-05,16,8,24,0.0156932407447844
"948","T88_D__k141_93184||full",0.00277306258264225,16,12,24,0.0471703107664907
"949","T24_S__k141_808795||full",0.00191575787107171,8,20,24,0.0394353515457819
"950","T8_S__k141_571830||full",0.00288925576042733,12,16,24,0.0482515468754398
"956","T4_D_k141_180398||full",0.000821309940881683,20,8,24,0.0287567945992524
"957","T12_S__k141_425094||full",0.000783977670841606,16,8,24,0.0287567945992524
"958","T12_S__k141_1008050||full",0.00252397994927606,12,16,24,0.0448884689620055
"960","T12_S__k141_891832||full",0.000858642210921759,16,8,24,0.0287567945992524
"962","T76_S__k141_620327||full",0.000255378667967839,8,16,24,0.0206678603286038
"972","T8_S__k141_116586||full",1.28313056034601e-06,12,12,24,0.00443853191260262
"974","T20_S__k141_1017156||full",0.00150056416750155,16,12,24,0.0349083316051522
"981","T4_S__k141_679225||full",0.00116344065420643,16,8,24,0.0318980288616093
"985","T4_S__k141_615979||full",0.00286869096759402,8,20,24,0.0482515468754398
"988","T24_S__k141_774541||full",0.000146086150010495,16,8,24,0.0189162034029632
"990","T44_S__k141_184643||full",0.000118527147224139,16,8,24,0.0178720782259343
"992","T52_S_k141_637179||full",2.74757719990399e-05,8,16,24,0.0139876047649868
"996","T28_S__k141_549250||full",0.000821309940881683,16,8,24,0.0287567945992524
"999","T12_S__k141_59665||full",0.0027829957309888,8,20,24,0.0472562823493428
"1000","T56_S__k141_635185||full",3.06162985274759e-05,16,8,24,0.0139876047649868
"1004","T12_S__k141_761624||full",0.00168830439766374,8,16,24,0.0370967356488473
"1006","T76_S__k141_934183||full",0.000933306751001912,16,8,24,0.0298767113185473
"1008","T44_S__k141_919042||full",0.00111537384619492,8,16,24,0.0318298907622438
"1010","T52_S_k141_947828||full",0.00277306258264225,16,12,24,0.0471703107664907
"1011","T48_S__k141_1020122||full",0.00033043384589156,16,8,24,0.0220661404452316
"1014","T32_S__k141_787747||full",0.00201286378809014,16,8,24,0.0399831696183878
"1016","T52_D__k141_359009||full",0.00277306258264225,16,12,24,0.0471703107664907
"1017","T16_D__k141_121325||full",0.00121321487990599,12,16,24,0.0326953646099538
"1023","T100_S__k141_684905||full",0.000388876080773272,8,16,24,0.0230226049384939
"1024","T80_S__k141_828368||full_1",0.00314758632114179,16,8,24,0.0494560923511894
"1025","T112_S__k141_1006758||full",0.00247210453533947,16,8,24,0.0441872882844828
"1026","T68_S__k141_1017598||full",0.000488919114245499,16,12,24,0.0243358535905498
"1028","T108_S__k141_170807||full",0.000657833790083256,16,8,24,0.0265258740933821
"1029","T112_S__k141_495983||full",0.00117350463543494,16,8,24,0.0319712523699148
"1032","T20_S__k141_559795||full",0.000501329654198568,16,8,24,0.0243358535905498
"1044","T32_S__k141_860204||full",0.000118527147224139,16,8,24,0.0178720782259343
"1047","T64_S__k141_563278||full",0.00301643689109421,16,8,24,0.0490444918765397
"1048","T16_S__k141_83247||full",7.9682735675743e-05,16,8,24,0.0163397069061258
"1057","T52_S_k141_84462||full",0.000273989558333271,20,8,24,0.0206678603286038
"1058","T108_S__k141_710802||full",0.00204735174488914,16,12,24,0.0403866192674099
"1059","T16_S__k141_136776||full",0.00193234923656654,16,8,24,0.0394353515457819
"1061","T32_S__k141_432133||full",0.00234700927086988,8,20,24,0.0437069651438199
"1068","T100_D__k141_425025||full",1.91111462111821e-06,20,8,24,0.00544420346303015
